"Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"2015-05",-7.467098,54.822827,"Chestnut Grove","CDAR","LURGAN","28,568"
"2016-12",-5.923271,54.626661,"York Crescent","CDAR","BELFAST","335,665"
"2017-12",-6.320588,54.190809,"Drumcashel Villas","ASBO","NEWRY","27,234"
"2017-01",-6.252615,54.789655,"Tavnaghmore Road","BURG","ANTRIM","21,896"
"2016-07",-6.273416,54.848359,"Shancoole","ASBO","BALLYMENA","30,265"
"2017-07",-5.900216,54.59805,"Belvoir Street","VISO","BELFAST","335,665"
"2016-09",-6.047071,54.517534,"Magheralave Road","VISO","LISBURN","121,654"
"2015-11",-5.956815,54.613656,"Flax Street","VISO","BELFAST","335,665"
"2015-03",-6.057336,54.516343,"Thornleigh Drive","ASBO","LISBURN","121,654"
"2015-10",-6.046269,54.480961,"Highgrove","ASBO","LISBURN","121,654"
"2015-12",-5.928221,54.608794,"Earl Close","OTTH","BELFAST","335,665"
"2016-04",-6.019213,54.564036,"Stewartstown Road","VISO","COALISLAND","5,789"
"2015-09",-5.932635,54.591645,"Ventry Street","OTTH","BELFAST","335,665"
"2017-09",-6.275256,54.359021,"Lurgan Road","ASBO","PORTADOWN","22,611"
"2016-06",-5.975179,54.591134,"Whiterock Drive","ASBO","ARDGLASS","1,923"
"2016-11",-5.960744,54.631045,"Ballysillan Road","BITH","BELFAST","335,665"
"2016-03",-6.186919,54.719332,"Norfolk Court","ASBO","ANTRIM","21,896"
"2016-03",-7.643856,54.347106,"Castle Street","VISO","DONAGHADEE","6,926"
"2015-10",-6.91354,54.923195,"O'Cahan Place","VISO","DUNGIVEN",NA
"2017-11",-7.616043,54.328451,"Killyhevlin Park","ASBO","ENNISKILLEN","13,826"
"2015-06",-5.929684,54.602853,"Academy Street","ASBO","BELFAST","335,665"
"2015-02",-6.946454,55.045852,"Mullagh Place","ASBO","LIMAVADY","12,128"
"2017-03",-7.32043,55.011812,"Dunvale Close","ASBO","LONDONDERRY",NA
"2017-07",-5.910525,54.597393,"Anderson Court","VISO","BELFAST","335,665"
"2016-07",-6.663686,55.133707,"Railway Place","ASBO","COLERAINE","24,694"
"2016-09",-6.356819,54.448424,"Drumbeg","OTTH","CRAIGAVON","17,213"
"2015-03",-5.962251,54.600908,"Colinward Street","VISO","BELFAST","335,665"
"2017-12",-6.142253,54.47226,"Moira Road","VISO","GLENAVY","5,798"
"2017-12",-5.704123,54.595925,"Corry Street","ASBO","NEWTOWNARDS","28,654"
"2015-06",-6.023269,54.772262,"Sawmill Road","Drugs","BALLYCLARE","18,675"
"2016-04",-6.264359,54.859864,"Barra Drive","VECR","BALLYMENA","30,265"
"2016-12",-7.320825,55.029115,"Fern Park","VISO","LONDONDERRY",NA
"2016-12",-5.944305,54.579912,"Windsor Avenue","VECR","NEWTOWNARDS","28,654"
"2017-01",-6.508942,54.868792,"Beechland Park","ASBO","PORTGLENONE","1,187"
"2017-05",-5.931179,54.593507,"Bedford Street","VISO","BELFAST","335,665"
"2016-11",-5.987066,54.597936,"Moyard Parade","VISO","BELFAST","335,665"
"2016-04",-6.004472,54.561934,"Garnock Hill","ASBO","BELFAST","335,665"
"2017-02",-7.460474,54.824891,"Barrack Street","ASBO","COALISLAND","5,789"
"2015-11",-6.951585,55.047073,"Roe Mill Walk","VISO","LIMAVADY","12,128"
"2015-02",-6.525692,55.064273,"Ballybrakes Road","BURG","BALLYMONEY","11,365"
"2016-10",-5.867011,54.607119,"Carolhill Park","ASBO","BALLYMENA","30,265"
"2016-01",-7.319792,54.596147,"Tamlaght Road","VISO","KILREA","2,732"
"2017-12",-5.993975,54.580485,"Coolnasilla Park East","CDAR","BELFAST","335,665"
"2015-10",-5.668506,54.659688,"Market Street","ASBO","BALLYMONEY","11,365"
"2016-08",-6.235804,54.475387,"Waringfield Avenue","ASBO",NA,NA
"2017-01",-6.220818,54.732709,"Durnish Road","ASBO","ANTRIM","21,896"
"2015-02",-6.037326,54.507232,"Ballynahinch Road","VISO","CARRYDUFF","7,123"
"2017-02",-6.038693,54.514784,"Wallace Avenue","CDAR","LISBURN","121,654"
"2017-08",-5.998258,54.750971,"Main Street","CDAR","BALLYMONEY","11,365"
"2015-03",-7.322371,55.001493,"Asylum Road","CDAR","LONDONDERRY",NA
"2017-03",-5.932781,54.587541,"Botanic Avenue","VECR","BELFAST","335,665"
"2017-05",-5.863767,54.694703,"Longfield Gardens","ASBO","CARRICKFERGUS","28,653"
"2016-04",-5.844115,54.862346,"Ardclinis Gardens","CDAR","LARNE","33,620"
"2016-10",-6.061684,54.500527,"Lagan Walk","ASBO","LISBURN","121,654"
"2015-09",-6.359395,54.183132,"Parkhead Crescent","CDAR","NEWRY","27,234"
"2017-08",-6.114747,54.668537,"Seven Mile Straight","BURG","ANTRIM","21,896"
"2017-06",-5.899389,54.59516,"Chatsworth Street","VISO","BELFAST","335,665"
"2016-12",-5.898016,54.596592,"Chamberlain Street","CDAR","LONDONDERRY",NA
"2015-07",-7.317702,54.98837,"Victoria Road","OTTH","BREADY","94"
"2017-05",-6.336354,54.17861,"Basin Quay","Drugs","NEWRY","27,234"
"2015-06",-6.665436,54.345909,"Nursery Mews","ASBO","ARMAGH","175,621"
"2017-01",-7.643201,54.348164,"Queen Street","OTTH","LONDONDERRY",NA
"2015-05",-5.936644,54.59192,"Sandy Row","VECR","BELFAST","335,665"
"2017-01",NA,NA,"No Location","OTCR",NA,NA
"2016-01",-6.650306,54.347735,"The Mall West","SHOP","ARMAGH","175,621"
"2017-03",-5.974553,54.611519,"Forthriver Pass","ASBO","BELFAST","335,665"
"2017-03",-6.02177,54.557528,"Glasvey Crescent","OTTH","DUNMURRY",NA
"2016-09",-6.926523,55.048786,"Knockanbaan","OTTH","LIMAVADY","12,128"
"2015-03",-5.888846,54.398883,"Craigs Road","ASBO","CULLYBACKEY","245"
"2016-11",-5.917659,54.657976,"Merville Garden Village","ASBO","NEWTOWNABBEY","118,261"
"2015-06",-5.702485,54.584617,"Jubilee Road","BURG","NEWTOWNARDS","28,654"
"2016-07",-5.939027,54.62622,"Kenbella Parade","CDAR","BELFAST","335,665"
"2017-02",-5.928256,54.6014,"Donegall Street","ASBO","BELFAST","335,665"
"2017-05",-5.895052,54.587762,"Castlereagh Road","SHOP","BELFAST","335,665"
"2017-03",-5.95396,54.597731,"Dunlewey Street","CDAR","BELFAST","335,665"
"2017-03",-5.96736,54.626322,"Ballysillan Road","BURG","BELFAST","335,665"
"2015-03",-5.717826,54.327056,"Market Street","VISO","BALLYMONEY","11,365"
"2015-12",-6.389303,54.451548,"Lakelands","SHOP","CRAIGAVON","17,213"
"2015-09",-5.936466,54.58658,"Claremont Street","BURG","BELFAST","335,665"
"2016-05",-7.324298,55.035557,"Fernabbey Drive","VISO","LONDONDERRY",NA
"2015-02",-6.342764,54.463541,"Prospect Way","VISO","LURGAN","28,568"
"2016-07",-5.83573,54.640914,"Hibernia Street","VISO","HOLYWOOD","12,657"
"2015-09",-5.933083,54.595336,"Brunswick Street","VISO","BELFAST","335,665"
"2017-05",-5.991954,54.57409,"Slievegallion Drive","VECR","BELFAST","335,665"
"2017-07",-6.015232,54.562902,"Cloona Park","VECR","DUNMURRY",NA
"2015-10",-6.354626,54.159346,"Ashton Heights","OTTH","NEWRY","27,234"
"2016-08",-6.351386,54.189994,"Larchmount","ASBO",NA,NA
"2015-09",-5.973975,54.624097,"Bilston Road","ASBO","BELFAST","335,665"
"2017-12",-5.936449,54.609842,"St James Mews","Drugs","BELFAST","335,665"
"2017-03",-6.325869,54.310992,"Poyntzpass Road","CDAR","SCARVA","324"
"2017-08",-5.896076,54.591895,"Beersbridge Road","ASBO","BELFAST","335,665"
"2016-05",-5.671813,54.659042,"Railwayview Street","VISO","BANGOR","62,789"
"2017-04",-5.907394,54.584823,"Ardenlee Park","ASBO","DOWNPATRICK","11,012"
"2017-04",-6.36496,54.376433,"Ann Street","ASBO","BELFAST","335,665"
"2016-07",-6.525001,55.073697,"Margaret Avenue","ASBO","BALLYMONEY","11,365"
"2015-06",-5.947415,54.588806,"Donegall Road","OTTH","BELFAST","335,665"
"2016-06",-6.064423,54.524211,"Linnet Park","ASBO","LISBURN","121,654"
"2016-05",-5.981579,54.602508,"Black Mountain Walk","ASBO","BELFAST","335,665"
"2017-04",-5.950441,54.579998,"Chadwick Street","VISO","BELFAST","335,665"
"2015-12",-6.654526,54.349418,"Upper English Street","VISO","ARMAGH","175,621"
